imdb_title_id,year,genre,colors,genre_1,genre_2,genre_3,color_1,color_2,color_3,color_4,color_5
tt0080975,1980,"Comedy, Romance","['silver', 'black', 'gray', 'white', 'silver']",Comedy, Romance,,silver, black, gray, white, silver
tt0080979,1980,"Drama, History, War","['black', 'white', 'gray', 'silver', 'maroon']",Drama, History, War,black, white, gray, silver, maroon
tt0081031,1980,"Adventure, Family","['white', 'gray', 'gray', 'black', 'silver']",Adventure, Family,,white, gray, gray, black, silver
tt0081032,1980,Comedy,"['silver', 'purple', 'gray', 'teal', 'black']",Comedy,,,silver, purple, gray, teal, black
tt0081060,1980,"Comedy, Drama","['gray', 'silver', 'black', 'silver', 'maroon']",Comedy, Drama,,gray, silver, black, silver, maroon
tt0081063,1980,"Comedy, Drama, Romance","['silver', 'black', 'gray', 'olive', 'silver']",Comedy, Drama, Romance,silver, black, gray, olive, silver
tt0081071,1980,"Biography, Crime, Western","['yellow', 'white', 'olive', 'silver', 'maroon']",Biography, Crime, Western,yellow, white, olive, silver, maroon
tt0081080,1980,Comedy,"['maroon', 'white', 'red', 'black', 'gray']",Comedy,,,maroon, white, red, black, gray
tt0081150,1980,"Comedy, Drama","['gray', 'black', 'silver', 'gray', 'gray']",Comedy, Drama,,gray, black, silver, gray, gray
tt0081159,1980,Comedy,"['gray', 'silver', 'gray', 'navy', 'black']",Comedy,,,gray, silver, gray, navy, black
tt0081163,1980,"Crime, Mystery, Thriller","['silver', 'gray', 'silver', 'white', 'gray']",Crime, Mystery, Thriller,silver, gray, silver, white, gray
tt0081184,1980,"Comedy, Horror, Thriller","['black', 'white', 'gray', 'yellow', 'olive']",Comedy, Horror, Thriller,black, white, gray, yellow, olive
tt0081207,1980,"Comedy, Drama, Family","['gray', 'black', 'silver', 'gray', 'navy']",Comedy, Drama, Family,gray, black, silver, gray, navy
tt0081235,1980,"Biography, Drama, Music","['gray', 'white', 'gray', 'black', 'silver']",Biography, Drama, Music,gray, white, gray, black, silver
tt0081249,1980,"Comedy, Crime, Mystery","['silver', 'black', 'olive', 'gray', 'olive']",Comedy, Crime, Mystery,silver, black, olive, gray, olive
